"105","Malaysia","Undefined","Kuala Lumpur (legislative/judical) and Putrajaya (administrative)","MYR"
"106","Maldives","Republic of Maldives","Male"
"107","Mali","Republic of Mali","Bamako"
"108","Malta","Republic of Malta","Valletta"
"109","Marshall Islands","Republic of the Marshall Islands","Majuro"
"110","Mauritania","Islamic Republic of Mauritania","Nouakchott"
"111","Mauritius","Republic of Mauritius","Port Louis"
"112","Mexico","United Mexican States","Mexico"
"113","Micronesia","Federated States of Micronesia","Palikir"
"114","Moldova","Republic of Moldova","Chisinau"
"115","Monaco","Principality of Monaco","Monaco"
"116","Mongolia","Undefined","Ulaanbaatar"
"117","Montenegro","Republic of Montenegro","Podgorica"
"118","Morocco","Kingdom of Morocco","Rabat"
"119","Mozambique","Republic of Mozambique","Maputo"
"120","Myanmar (Burma)","Union of Myanmar","Naypyidaw"
"121","Namibia","Republic of Namibia","Windhoek"
"122","Nauru","Republic of Nauru","Yaren"
"123","Nepal","Undefined","Kathmandu","NPR"
"124","Netherlands","Kingdom of the Netherlands","Amsterdam (administrative) and The Hague (legislative/judical)"
"125","New Zealand","Undefined","Wellington"
"126","Nicaragua","Republic of Nicaragua","Managua"
"127","Niger","Republic of Niger","Niamey"
"128","Nigeria","Federal Republic of Nigeria","Abuja"
"129","Norway","Kingdom of Norway","Oslo"
"130","Oman","Sultanate of Oman","Muscat"
"131","Pakistan","Islamic Republic of Pakistan","Islamabad"
"132","Palau","Republic of Palau","Melekeok"
"133","Panama","Republic of Panama","Panama"
"134","Papua New Guinea","Independent State of Papua New Guinea","Port Moresby"
"135","Paraguay","Republic of Paraguay","Asuncion"
"136","Peru","Republic of Peru","Lima"
"137","Philippines","Republic of the Philippines","Manila"
"138","Poland","Republic of Poland","Warsaw"
"139","Portugal","Portuguese Republic","Lisbon"
"140","Qatar","State of Qatar","Doha"
"141","Romania","Undefined","Bucharest"
"142","Russia","Russian Federation","Moscow"
"143","Rwanda","Republic of Rwanda","Kigali"
"144","Saint Kitts and Nevis","Federation of Saint Kitts and Nevis","Basseterre"
"145","Saint Lucia","Undefined","Castries"
"146","Saint Vincent and the Grenadines","Undefined","Kingstown"
"147","Samoa","Independent State of Samoa","Apia"
"148","San Marino","Republic of San Marino","San Marino"
"149","Sao Tome and Principe","Democratic Republic of Sao Tome and Principe","Sao Tome"
"150","Saudi Arabia","Kingdom of Saudi Arabia","Riyadh"
"151","Senegal","Republic of Senegal","Dakar"
"152","Serbia","Republic of Serbia","Belgrade"
"153","Seychelles","Republic of Seychelles","Victoria"
"154","Sierra Leone","Republic of Sierra Leone","Freetown"
"155","Singapore","Republic of Singapore","Singapore"
"156","Slovakia","Slovak Republic","Bratislava"
"157","Slovenia","Republic of Slovenia","Ljubljana"
"158","Solomon Islands","Undefined","Honiara"
"159","Somalia","Undefined","Mogadishu"
"160","South Africa","Republic of South Africa","Pretoria (administrative), Cape Town (legislative), and Bloemfontein (judical)"
"161","Spain","Kingdom of Spain","Madrid"
"162","Sri Lanka","Democratic Socialist Republic of Sri Lanka","Colombo (administrative/judical) and Sri Jayewardenepura Kotte (legislative)"
"163","Sudan","Republic of the Sudan","Khartoum"
"164","Suriname","Republic of Suriname","Paramaribo"
"165","Swaziland","Kingdom of Swaziland","Mbabane (administrative) and Lobamba (legislative)","SZL","Lilangeni"
"166","Sweden","Kingdom of Sweden","Stockholm"
"167","Switzerland","Swiss Confederation","Bern"
"168","Syria","Syrian Arab Republic","Damascus"
"169","Tajikistan","Republic of Tajikistan","Dushanbe"
"170","Tanzania","United Republic of Tanzania","Dar es Salaam (administrative/judical) and Dodoma (legislative)"
"171","Thailand","Kingdom of Thailand","Bangkok"
"172","Timor-Leste (East Timor)","Democratic Republic of Timor-Leste","Dili"
"173","Togo","Togolese Republic","Lome"
"174","Tonga","Kingdom of Tonga","Nuku'alofa"
"175","Trinidad and Tobago","Republic of Trinidad and Tobago","Port-of-Spain"
"176","Tunisia","Tunisian Republic","Tunis"
"177","Turkey","Republic of Turkey","Ankara"
"178","Turkmenistan","Undefined","Ashgabat"
"179","Tuvalu","Undefined","Funafuti"
"180","Uganda","Republic of Uganda","Kampala"
"181","Ukraine","Undefined","Kiev"
"182","United Arab Emirates","United Arab Emirates","Abu Dhabi"
"183","United Kingdom","United Kingdom of Great Britain and Northern Ireland","London"
"184","United States","United States of America","Washington"
"185","Uruguay","Oriental Republic of Uruguay","Montevideo"
"186","Uzbekistan","Republic of Uzbekistan","Tashkent"
"187","Vanuatu","Republic of Vanuatu","Port-Vila",
"188","Vatican City","State of the Vatican City","Vatican City"
"189","Venezuela","Bolivarian Republic of Venezuela","Caracas"
"190","Vietnam","Socialist Republic of Vietnam","Hanoi"
"191","Yemen","Republic of Yemen","Sanaa"
"192","Zambia","Republic of Zambia","Lusaka"
"193","Zimbabwe","Republic of Zimbabwe","Harare"
"194","Abkhazia","Republic of Abkhazia","Proto Independent State"
"195","China, Republic of (Taiwan)","Republic of China","Proto Independent State",
"196","Nagorno-Karabakh","Nagorno-Karabakh Republic","Proto Independent State"
"197","Northern Cyprus","Turkish Republic of Northern Cyprus","Proto Independent State"
"198","Pridnestrovie (Transnistria)","Pridnestrovian Moldavian Republic","Proto Independent State"
"199","Somaliland","Republic of Somaliland","Proto Independent State"
"200","South Ossetia","Republic of South Ossetia","Proto Independent State"
"201","Ashmore and Cartier Islands","Territory of Ashmore and Cartier Islands","Dependency"
"202","Christmas Island","Territory of Christmas Island","Dependency"
"203","Cocos (Keeling) Islands","Territory of Cocos (Keeling) Islands","Dependency"
"204","Coral Sea Islands","Coral Sea Islands Territory","Dependency"
"205","Heard Island and McDonald Islands","Territory of Heard Island and McDonald Islands","Dependency"
"206","Norfolk Island","Territory of Norfolk Island","Dependency"
"207","New Caledonia","Undefined","Dependency","Sui generis Collectivity"
"208","French Polynesia","Overseas Country of French Polynesia","Dependency"
"209","Mayotte","Departmental Collectivity of Mayotte","Dependency"
